x,y,t,u_true,u_pred
0.000000000000000000e+00,2.656250000000000000e-01,6.992187500000000000e-01,0.000000000000000000e+00,1.047681085765361786e-03
2.656250000000000000e-01,1.000000000000000000e+00,9.335937500000000000e-01,5.204258357593971596e-08,8.557392284274101257e-04
7.343750000000000000e-01,0.000000000000000000e+00,1.093750000000000000e-01,0.000000000000000000e+00,-6.054592318832874298e-03
9.843750000000000000e-01,0.000000000000000000e+00,7.304687500000000000e-01,0.000000000000000000e+00,-2.817637287080287933e-03
1.562500000000000000e-02,1.000000000000000000e+00,9.589843750000000000e-01,-8.314031130218779708e-10,1.715107820928096771e-03
0.000000000000000000e+00,1.562500000000000000e-02,7.500000000000000000e-01,-0.000000000000000000e+00,1.530828885734081268e-03
1.000000000000000000e+00,9.843750000000000000e-01,5.605468750000000000e-01,-4.178311918678900838e-09,-5.876998417079448700e-03
1.000000000000000000e+00,4.843750000000000000e-01,4.453125000000000000e-01,-5.183963480703823734e-08,2.666193060576915741e-03
0.000000000000000000e+00,5.156250000000000000e-01,2.539062500000000000e-01,0.000000000000000000e+00,-6.257607601583003998e-04
5.156250000000000000e-01,1.000000000000000000e+00,7.890625000000000000e-01,7.664494461323556607e-08,-6.112055853009223938e-04
4.843750000000000000e-01,0.000000000000000000e+00,9.882812500000000000e-01,0.000000000000000000e+00,-2.318426966667175293e-03
3.593750000000000000e-01,0.000000000000000000e+00,2.714843750000000000e-01,0.000000000000000000e+00,3.521676175296306610e-03
6.406250000000000000e-01,1.000000000000000000e+00,6.835937500000000000e-01,-3.968835571299678122e-08,1.045818440616130829e-03
0.000000000000000000e+00,6.406250000000000000e-01,6.718750000000000000e-01,0.000000000000000000e+00,-1.698472537100315094e-03
1.000000000000000000e+00,3.593750000000000000e-01,3.867187500000000000e-01,7.677281921303347190e-09,-6.414046511054039001e-04
1.000000000000000000e+00,8.593750000000000000e-01,5.703125000000000000e-01,-3.659101110997653450e-08,1.594959758222103119e-03
0.000000000000000000e+00,1.406250000000000000e-01,5.351562500000000000e-01,0.000000000000000000e+00,-1.181803643703460693e-03
1.406250000000000000e-01,1.000000000000000000e+00,8.828125000000000000e-01,-1.777918479106688210e-09,7.892875000834465027e-04
8.593750000000000000e-01,0.000000000000000000e+00,7.812500000000000000e-02,-0.000000000000000000e+00,2.690285444259643555e-02
6.093750000000000000e-01,0.000000000000000000e+00,4.199218750000000000e-01,0.000000000000000000e+00,-6.424603052437305450e-03
3.906250000000000000e-01,1.000000000000000000e+00,4.101562500000000000e-01,-6.666576979341698461e-08,-7.692817598581314087e-05
0.000000000000000000e+00,3.906250000000000000e-01,9.609375000000000000e-01,0.000000000000000000e+00,7.818927988409996033e-04
1.000000000000000000e+00,6.093750000000000000e-01,9.980468750000000000e-01,-7.704300486466308939e-08,-2.686136402189731598e-03
